path,country,expected_binary,predicted_binary,binary_confidence,binary_correct,expected_fraud_type,predicted_fraud_type,fraud_confidence,fraud_correct
datasets/idnet/DC/positive/generated.photos_v3_0091104_0611376_0931017.png,DC,Real,Fake,0.5928035378456116,False,N/A,Face Morphing,0.9733031392097473,
datasets/idnet/AZ/fraud2_face_morphing/generated.photos_v3_0492406.png,AZ,Fake,Real,0.6396664977073669,False,Face Morphing,N/A,,False
datasets/idnet/WV/WV/positive/generated.photos_v3_0036299_0667120_0155290.png,WV,Real,Real,0.6910849213600159,True,N/A,N/A,,
datasets/idnet/WV/WV/fraud3_face_replacement/generated.photos_v3_0930941.png,WV,Fake,Fake,0.9219732880592346,True,Face Replacement,Face Replacement,0.9914209246635437,True
datasets/idnet/WV/WV/fraud2_face_morphing/generated.photos_v3_0662335.png,WV,Fake,Real,0.5579427480697632,False,Face Morphing,N/A,,False
datasets/idnet/DC/positive/generated.photos_v3_0025660.png,DC,Real,Real,0.7319805026054382,True,N/A,N/A,,
datasets/idnet/WV/WV/positive/generated.photos_v3_0518848.png,WV,Real,Real,0.8062759637832642,True,N/A,N/A,,
datasets/idnet/DC/positive/generated.photos_v3_0092553.png,DC,Real,Real,0.6281545162200928,True,N/A,N/A,,
datasets/idnet/AZ/fraud2_face_morphing/generated.photos_v3_0847936.png,AZ,Fake,Fake,0.5688334107398987,True,Face Morphing,Face Morphing,0.9827544093132019,True
datasets/idnet/DC/fraud2_face_morphing/generated.photos_v3_0017596.png,DC,Fake,Real,0.5007784962654114,False,Face Morphing,N/A,,False
datasets/idnet/WV/WV/positive/generated.photos_v3_0837111.png,WV,Real,Fake,0.5830153822898865,False,N/A,Face Morphing,0.98600172996521,
datasets/idnet/AZ/positive/generated.photos_v3_0633614.png,AZ,Real,Real,0.6343584060668945,True,N/A,N/A,,
datasets/idnet/WV/WV/positive/generated.photos_v3_0669881.png,WV,Real,Real,0.5458552837371826,True,N/A,N/A,,
datasets/idnet/DC/positive/generated.photos_v3_0801224.png,DC,Real,Real,0.5774934887886047,True,N/A,N/A,,
datasets/idnet/AZ/positive/generated.photos_v3_0512907.png,AZ,Real,Real,0.6793933510780334,True,N/A,N/A,,
datasets/idnet/DC/fraud2_face_morphing/generated.photos_v3_0828616_0686400_0983771.png,DC,Fake,Fake,0.660926342010498,True,Face Morphing,Face Replacement,0.5669293999671936,False
datasets/idnet/WV/WV/positive/generated.photos_v3_0448410_0826708_0099111.png,WV,Real,Real,0.5566794872283936,True,N/A,N/A,,
datasets/idnet/AZ/fraud3_face_replacement/generated.photos_v3_0741151.png,AZ,Fake,Real,0.6459135413169861,False,Face Replacement,N/A,,False
datasets/idnet/AZ/fraud2_face_morphing/generated.photos_v3_0282306.png,AZ,Fake,Real,0.5125982761383057,False,Face Morphing,N/A,,False
datasets/idnet/DC/fraud2_face_morphing/generated.photos_v3_0579826.png,DC,Fake,Real,0.6066369414329529,False,Face Morphing,N/A,,False
datasets/idnet/AZ/fraud2_face_morphing/generated.photos_v3_0428986.png,AZ,Fake,Real,0.5256218910217285,False,Face Morphing,N/A,,False
datasets/idnet/WV/WV/fraud3_face_replacement/generated.photos_v3_0967031_0871737_0244851.png,WV,Fake,Fake,0.6672170162200928,True,Face Replacement,Face Replacement,0.6234318614006042,True
datasets/idnet/WV/WV/positive/generated.photos_v3_0427890.png,WV,Real,Fake,0.6013080477714539,False,N/A,Face Morphing,0.9807584881782532,
datasets/idnet/WV/WV/fraud2_face_morphing/generated.photos_v3_0857397_0732810_0895385.png,WV,Fake,Real,0.5666747689247131,False,Face Morphing,N/A,,False
datasets/idnet/AZ/fraud3_face_replacement/generated.photos_v3_0291569.png,AZ,Fake,Fake,0.992946207523346,True,Face Replacement,Face Replacement,0.9870032668113708,True
datasets/idnet/AZ/positive/generated.photos_v3_0581105.png,AZ,Real,Real,0.5190193057060242,True,N/A,N/A,,
datasets/idnet/AZ/fraud2_face_morphing/generated.photos_v3_0866308_0549105_0386198.png,AZ,Fake,Real,0.6786552667617798,False,Face Morphing,N/A,,False
datasets/idnet/AZ/fraud3_face_replacement/generated.photos_v3_0108166_0995943_0972790.png,AZ,Fake,Fake,0.7388148903846741,True,Face Replacement,Face Replacement,0.631369411945343,True
datasets/idnet/AZ/positive/generated.photos_v3_0862023.png,AZ,Real,Real,0.7142578959465027,True,N/A,N/A,,
datasets/idnet/AZ/fraud3_face_replacement/generated.photos_v3_0401835.png,AZ,Fake,Fake,0.9871792793273926,True,Face Replacement,Face Replacement,0.9854021072387695,True
datasets/idnet/AZ/positive/generated.photos_v3_0577933.png,AZ,Real,Real,0.5494004487991333,True,N/A,N/A,,
datasets/idnet/AZ/fraud3_face_replacement/generated.photos_v3_0445993.png,AZ,Fake,Fake,0.9937990307807922,True,Face Replacement,Face Replacement,0.9890390634536743,True
datasets/idnet/WV/WV/fraud3_face_replacement/generated.photos_v3_0987841.png,WV,Fake,Real,0.5356389880180359,False,Face Replacement,N/A,,False
datasets/idnet/DC/fraud2_face_morphing/generated.photos_v3_0102179.png,DC,Fake,Real,0.5244612693786621,False,Face Morphing,N/A,,False
datasets/idnet/DC/fraud3_face_replacement/generated.photos_v3_0301666.png,DC,Fake,Fake,0.5995619297027588,True,Face Replacement,Face Replacement,0.9505667686462402,True
datasets/idnet/AZ/fraud3_face_replacement/generated.photos_v3_0729577_0441306_0955215.png,AZ,Fake,Fake,0.9783153533935547,True,Face Replacement,Face Replacement,0.9804720282554626,True
datasets/idnet/WV/WV/positive/generated.photos_v3_0129643.png,WV,Real,Real,0.5497055649757385,True,N/A,N/A,,
datasets/idnet/WV/WV/fraud3_face_replacement/generated.photos_v3_0131395.png,WV,Fake,Fake,0.586090087890625,True,Face Replacement,Face Replacement,0.8595053553581238,True
datasets/idnet/DC/positive/generated.photos_v3_0318633.png,DC,Real,Real,0.6718710064888,True,N/A,N/A,,
datasets/idnet/AZ/fraud3_face_replacement/generated.photos_v3_0016139.png,AZ,Fake,Fake,0.9530816078186035,True,Face Replacement,Face Replacement,0.9749466776847839,True
datasets/idnet/AZ/positive/generated.photos_v3_0373680.png,AZ,Real,Real,0.6639724969863892,True,N/A,N/A,,
datasets/idnet/WV/WV/positive/generated.photos_v3_0165709_0943725_0826925.png,WV,Real,Real,0.5863624215126038,True,N/A,N/A,,
datasets/idnet/DC/positive/generated.photos_v3_0172687.png,DC,Real,Real,0.6397870779037476,True,N/A,N/A,,
datasets/idnet/DC/positive/generated.photos_v3_0252737.png,DC,Real,Real,0.7956975698471069,True,N/A,N/A,,
datasets/idnet/DC/fraud2_face_morphing/generated.photos_v3_0894243.png,DC,Fake,Real,0.56296306848526,False,Face Morphing,N/A,,False
