image_path,label,label_name,is_fake,fraud_type,original_id,source_country,original_filename
images/real_ALB_0504722.png,0,real,0,,ALB_0504722,ALB,generated.photos_v3_0504722.png
images/face_morphing_ALB_0504722.png,1,face_morphing,1,face_morphing,ALB_0504722,ALB,generated.photos_v3_0504722.png
images/real_ALB_0741151.png,0,real,0,,ALB_0741151,ALB,generated.photos_v3_0741151.png
images/face_morphing_ALB_0741151.png,1,face_morphing,1,face_morphing,ALB_0741151,ALB,generated.photos_v3_0741151.png
images/real_ALB_0929102.png,0,real,0,,ALB_0929102,ALB,generated.photos_v3_0929102.png
images/face_morphing_ALB_0929102.png,1,face_morphing,1,face_morphing,ALB_0929102,ALB,generated.photos_v3_0929102.png
images/real_ALB_0551874.png,0,real,0,,ALB_0551874,ALB,generated.photos_v3_0551874.png
images/face_morphing_ALB_0551874.png,1,face_morphing,1,face_morphing,ALB_0551874,ALB,generated.photos_v3_0551874.png
images/real_ALB_0038990.png,0,real,0,,ALB_0038990,ALB,generated.photos_v3_0038990.png
images/face_morphing_ALB_0038990.png,1,face_morphing,1,face_morphing,ALB_0038990,ALB,generated.photos_v3_0038990.png
images/real_ALB_0163409.png,0,real,0,,ALB_0163409,ALB,generated.photos_v3_0163409.png
images/face_morphing_ALB_0163409.png,1,face_morphing,1,face_morphing,ALB_0163409,ALB,generated.photos_v3_0163409.png
images/real_ALB_0205536.png,0,real,0,,ALB_0205536,ALB,generated.photos_v3_0205536_0397830_0362503.png
images/face_morphing_ALB_0205536.png,1,face_morphing,1,face_morphing,ALB_0205536,ALB,generated.photos_v3_0205536_0397830_0362503.png
images/real_ALB_0309367.png,0,real,0,,ALB_0309367,ALB,generated.photos_v3_0309367.png
images/face_morphing_ALB_0309367.png,1,face_morphing,1,face_morphing,ALB_0309367,ALB,generated.photos_v3_0309367.png
images/real_ALB_0438818.png,0,real,0,,ALB_0438818,ALB,generated.photos_v3_0438818.png
images/face_morphing_ALB_0438818.png,1,face_morphing,1,face_morphing,ALB_0438818,ALB,generated.photos_v3_0438818.png
images/real_ALB_0229432.png,0,real,0,,ALB_0229432,ALB,generated.photos_v3_0229432.png
images/face_morphing_ALB_0229432.png,1,face_morphing,1,face_morphing,ALB_0229432,ALB,generated.photos_v3_0229432.png
images/real_ALB_0440934.png,0,real,0,,ALB_0440934,ALB,generated.photos_v3_0440934.png
images/face_morphing_ALB_0440934.png,1,face_morphing,1,face_morphing,ALB_0440934,ALB,generated.photos_v3_0440934.png
images/real_ALB_0561677.png,0,real,0,,ALB_0561677,ALB,generated.photos_v3_0561677.png
images/face_morphing_ALB_0561677.png,1,face_morphing,1,face_morphing,ALB_0561677,ALB,generated.photos_v3_0561677.png
images/real_ALB_0073462.png,0,real,0,,ALB_0073462,ALB,generated.photos_v3_0073462.png
images/face_morphing_ALB_0073462.png,1,face_morphing,1,face_morphing,ALB_0073462,ALB,generated.photos_v3_0073462.png
images/real_ALB_0245940.png,0,real,0,,ALB_0245940,ALB,generated.photos_v3_0245940.png
images/face_morphing_ALB_0245940.png,1,face_morphing,1,face_morphing,ALB_0245940,ALB,generated.photos_v3_0245940.png
images/real_ALB_0933860.png,0,real,0,,ALB_0933860,ALB,generated.photos_v3_0933860.png
images/face_morphing_ALB_0933860.png,1,face_morphing,1,face_morphing,ALB_0933860,ALB,generated.photos_v3_0933860.png
images/real_ALB_0837111.png,0,real,0,,ALB_0837111,ALB,generated.photos_v3_0837111.png
images/face_morphing_ALB_0837111.png,1,face_morphing,1,face_morphing,ALB_0837111,ALB,generated.photos_v3_0837111.png
images/real_ALB_0288398.png,0,real,0,,ALB_0288398,ALB,generated.photos_v3_0288398.png
images/face_morphing_ALB_0288398.png,1,face_morphing,1,face_morphing,ALB_0288398,ALB,generated.photos_v3_0288398.png
images/real_ALB_0647632.png,0,real,0,,ALB_0647632,ALB,generated.photos_v3_0647632.png
images/face_morphing_ALB_0647632.png,1,face_morphing,1,face_morphing,ALB_0647632,ALB,generated.photos_v3_0647632.png
images/real_ALB_0685556.png,0,real,0,,ALB_0685556,ALB,generated.photos_v3_0685556.png
images/face_morphing_ALB_0685556.png,1,face_morphing,1,face_morphing,ALB_0685556,ALB,generated.photos_v3_0685556.png
images/real_ALB_0735749.png,0,real,0,,ALB_0735749,ALB,generated.photos_v3_0735749.png
images/face_morphing_ALB_0735749.png,1,face_morphing,1,face_morphing,ALB_0735749,ALB,generated.photos_v3_0735749.png
images/real_ALB_0764893.png,0,real,0,,ALB_0764893,ALB,generated.photos_v3_0764893.png
images/face_morphing_ALB_0764893.png,1,face_morphing,1,face_morphing,ALB_0764893,ALB,generated.photos_v3_0764893.png
images/real_ALB_0144594.png,0,real,0,,ALB_0144594,ALB,generated.photos_v3_0144594.png
images/face_morphing_ALB_0144594.png,1,face_morphing,1,face_morphing,ALB_0144594,ALB,generated.photos_v3_0144594.png
images/real_ALB_0509938.png,0,real,0,,ALB_0509938,ALB,generated.photos_v3_0509938.png
images/face_morphing_ALB_0509938.png,1,face_morphing,1,face_morphing,ALB_0509938,ALB,generated.photos_v3_0509938.png
images/real_ALB_0536882.png,0,real,0,,ALB_0536882,ALB,generated.photos_v3_0536882.png
images/face_morphing_ALB_0536882.png,1,face_morphing,1,face_morphing,ALB_0536882,ALB,generated.photos_v3_0536882.png
images/real_ALB_0553665.png,0,real,0,,ALB_0553665,ALB,generated.photos_v3_0553665.png
images/face_morphing_ALB_0553665.png,1,face_morphing,1,face_morphing,ALB_0553665,ALB,generated.photos_v3_0553665.png
images/real_ALB_0984748.png,0,real,0,,ALB_0984748,ALB,generated.photos_v3_0984748.png
images/face_morphing_ALB_0984748.png,1,face_morphing,1,face_morphing,ALB_0984748,ALB,generated.photos_v3_0984748.png
images/real_ALB_0373359.png,0,real,0,,ALB_0373359,ALB,generated.photos_v3_0373359.png
images/face_morphing_ALB_0373359.png,1,face_morphing,1,face_morphing,ALB_0373359,ALB,generated.photos_v3_0373359.png
images/real_ALB_0896459.png,0,real,0,,ALB_0896459,ALB,generated.photos_v3_0896459.png
images/face_morphing_ALB_0896459.png,1,face_morphing,1,face_morphing,ALB_0896459,ALB,generated.photos_v3_0896459.png
images/real_ALB_0964562.png,0,real,0,,ALB_0964562,ALB,generated.photos_v3_0964562.png
images/face_morphing_ALB_0964562.png,1,face_morphing,1,face_morphing,ALB_0964562,ALB,generated.photos_v3_0964562.png
images/real_ALB_0893133.png,0,real,0,,ALB_0893133,ALB,generated.photos_v3_0893133.png
images/face_morphing_ALB_0893133.png,1,face_morphing,1,face_morphing,ALB_0893133,ALB,generated.photos_v3_0893133.png
images/real_ALB_0067100.png,0,real,0,,ALB_0067100,ALB,generated.photos_v3_0067100.png
