image_path,label,country,source_file
images/00001.png,passport,GRC,generated.photos_v3_0211571.png
images/00002.png,passport,GRC,generated.photos_v3_0108166_0995943_0018246.png
images/00003.png,passport,GRC,generated.photos_v3_0062615.png
images/00004.png,passport,GRC,generated.photos_v3_0045204.png
images/00005.png,passport,GRC,generated.photos_v3_0855738.png
images/00006.png,passport,GRC,generated.photos_v3_0181618.png
images/00007.png,passport,GRC,generated.photos_v3_0240945.png
images/00008.png,passport,GRC,generated.photos_v3_0902090.png
images/00009.png,passport,GRC,generated.photos_v3_0198624.png
images/00010.png,passport,GRC,generated.photos_v3_0198801_0420100_0822489.png
images/00011.png,passport,GRC,generated.photos_v3_0614676.png
images/00012.png,passport,GRC,generated.photos_v3_0512995.png
images/00013.png,passport,GRC,generated.photos_v3_0651133.png
images/00014.png,passport,GRC,generated.photos_v3_0774218.png
images/00015.png,passport,GRC,generated.photos_v3_0209900_0177583_0606070.png
images/00016.png,passport,GRC,generated.photos_v3_0151563.png
images/00017.png,passport,GRC,generated.photos_v3_0214714.png
images/00018.png,passport,GRC,generated.photos_v3_0972514.png
images/00019.png,passport,GRC,generated.photos_v3_0032605.png
images/00020.png,passport,GRC,generated.photos_v3_0075852.png
images/00021.png,passport,GRC,generated.photos_v3_0071325.png
images/00022.png,passport,GRC,generated.photos_v3_0770585.png
images/00023.png,passport,GRC,generated.photos_v3_0972158.png
images/00024.png,passport,GRC,generated.photos_v3_0172625.png
images/00025.png,passport,GRC,generated.photos_v3_0939264.png
images/00026.png,passport,GRC,generated.photos_v3_0679980.png
images/00027.png,passport,GRC,generated.photos_v3_0041380.png
images/00028.png,passport,GRC,generated.photos_v3_0143480_0318047_0968046.png
images/00029.png,passport,GRC,generated.photos_v3_0064479.png
images/00030.png,passport,GRC,generated.photos_v3_0046624.png
images/00031.png,passport,GRC,generated.photos_v3_0986319.png
images/00032.png,passport,GRC,generated.photos_v3_0598258.png
images/00033.png,passport,GRC,generated.photos_v3_0102318.png
images/00034.png,passport,GRC,generated.photos_v3_0147629_0326230_0023897.png
images/00035.png,passport,GRC,generated.photos_v3_0241577_0982238_0903121.png
images/00036.png,passport,GRC,generated.photos_v3_0622517.png
images/00037.png,passport,GRC,generated.photos_v3_0570037.png
images/00038.png,passport,GRC,generated.photos_v3_0030752.png
images/00039.png,passport,GRC,generated.photos_v3_0204331.png
images/00040.png,passport,GRC,generated.photos_v3_0637639_0712199_0047042.png
images/00041.png,passport,GRC,generated.photos_v3_0343767.png
images/00042.png,passport,GRC,generated.photos_v3_0249223_0245604_0174634.png
images/00043.png,passport,GRC,generated.photos_v3_0064269.png
images/00044.png,passport,GRC,generated.photos_v3_0035650.png
images/00045.png,passport,GRC,generated.photos_v3_0260860_0054362_0218172.png
images/00046.png,passport,GRC,generated.photos_v3_0652789.png
images/00047.png,passport,GRC,generated.photos_v3_0599602.png
images/00048.png,passport,GRC,generated.photos_v3_0672384.png
images/00049.png,passport,GRC,generated.photos_v3_0399066.png
images/00050.png,passport,GRC,generated.photos_v3_0977767.png
images/00051.png,passport,GRC,generated.photos_v3_0960552_0499913_0518518.png
