image_path,document_type
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0240363.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0081593.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0466841.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0609594.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0408626.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0205159.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0662335.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0364745_0445049_0962702.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0771349.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0357151.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0054386.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0952189.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0438915.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0127368.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0059996_0728435_0596177.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0447694.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0521344_0204716_0539538.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0864267_0158770_0282251.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0266401.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0093154.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0039817.png,passport
https://drive.google.com/drive/u/1/folders/1flQv8CqWEgxHyZUh0k17gAo0wrrMooYz/IDNET/GRC/GRC/positive/generated.photos_v3_0391923.png,passport
