image_path,label
images/05236.png,id_card
images/02755.png,passport
images/06983.png,driver_license
images/08036.png,driver_license
images/00583.png,passport
images/05971.png,id_card
images/00669.png,passport
images/05521.png,id_card
images/05362.png,id_card
images/07071.png,driver_license
images/09172.png,driver_license
images/06241.png,driver_license
images/01113.png,passport
images/01484.png,passport
images/07593.png,driver_license
images/06921.png,driver_license
images/00417.png,passport
images/06650.png,driver_license
images/07516.png,driver_license
images/03982.png,id_card
images/09264.png,driver_license
images/07927.png,driver_license
images/08931.png,driver_license
images/03740.png,id_card
images/02292.png,passport
images/03521.png,id_card
images/08367.png,driver_license
images/08082.png,driver_license
images/02628.png,passport
images/01685.png,passport
images/04240.png,id_card
images/06774.png,driver_license
images/06740.png,driver_license
images/06434.png,driver_license
images/06728.png,driver_license
images/02821.png,passport
images/01804.png,passport
images/05548.png,id_card
images/05804.png,id_card
images/05781.png,id_card
images/02593.png,passport
images/06379.png,driver_license
images/05545.png,id_card
images/05697.png,id_card
images/00867.png,passport
images/06235.png,id_card
images/07984.png,driver_license
images/02214.png,passport
images/02895.png,passport
images/03804.png,id_card
images/04880.png,id_card
images/00132.png,passport
images/05139.png,id_card
images/04363.png,id_card
images/08641.png,driver_license
images/06889.png,driver_license
images/06640.png,driver_license
images/04555.png,id_card
images/00266.png,passport
images/04271.png,id_card
images/05390.png,id_card
images/08347.png,driver_license
images/07218.png,driver_license
images/07559.png,driver_license
images/05614.png,id_card
images/02090.png,passport
images/04417.png,id_card
images/07916.png,driver_license
images/04506.png,id_card
images/02345.png,passport
images/08544.png,driver_license
images/08671.png,driver_license
images/00448.png,passport
images/08346.png,driver_license
images/05534.png,id_card
images/07676.png,driver_license
images/07101.png,driver_license
images/01759.png,passport
images/01748.png,passport
images/04511.png,id_card
images/08960.png,driver_license
images/04741.png,id_card
images/06203.png,id_card
images/08710.png,driver_license
images/00268.png,passport
images/03257.png,id_card
images/07186.png,driver_license
images/09200.png,driver_license
images/06363.png,driver_license
images/07283.png,driver_license
images/01035.png,passport
images/02089.png,passport
images/01414.png,passport
images/01457.png,passport
images/04694.png,id_card
images/00501.png,passport
images/02019.png,passport
images/05267.png,id_card
images/05333.png,id_card
images/06585.png,driver_license
images/02887.png,passport
images/03963.png,id_card
images/00246.png,passport
images/01722.png,passport
images/05248.png,id_card
images/00933.png,passport
images/02166.png,passport
images/03401.png,id_card
images/02692.png,passport
images/04683.png,id_card
images/01340.png,passport
images/00625.png,passport
images/05112.png,id_card
